Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
procedure_name,cmr,,text,Procedure Name,,,,,,,,,,,,,
date_cmr,cmr,,text,Date of baseline CMR exam,,,date_dmy,,,,,,,,,,
dx,cmr,,dropdown,Diagnosis,"1, Normal heart | 6, Athlete's heart | 2, HCM | 3, DCM | 4, ACM | 5, Other cardiomyopathy | 7, Ischemic cardiomyopathy",,,,,,,,,,,,
dx_detail,cmr,,text,Diagnosis detail,,,,,,,,,,,,,
akinesia_cmr,cmr,Regional Wall Motion,yesno,Akinesia,,,,,,,,,,,,, @DEFAULT='0'
akinesia_seg_cmr,cmr,,checkbox,Akinesia Segments,"1, basal anterior | 2, basal anteroseptal | 3, basal inferoseptal | 4, basal inferior | 5, basal inferolateral | 6, basal anterolateral | 7, mid anterior | 8, mid anteroseptal | 9, mid inferoseptal | 10, mid inferior | 11, mid inferolateral | 12, mid anterolateral | 13, apical anterior | 14, apical septal | 15, apical inferior | 16, apical lateral | 17, apex",,,,,,[akinesia_cmr] = '1',,,,,,
hypokinesia_cmr,cmr,,yesno,Hypokinesia,,,,,,,,,,,,, @DEFAULT='0'
hypokinesia_seg_cmr,cmr,,checkbox,Hypokinesia Segments,"1, basal anterior | 2, basal anteroseptal | 3, basal inferoseptal | 4, basal inferior | 5, basal inferolateral | 6, basal anterolateral | 7, mid anterior | 8, mid anteroseptal | 9, mid inferoseptal | 10, mid inferior | 11, mid inferolateral | 12, mid anterolateral | 13, apical anterior | 14, apical septal | 15, apical inferior | 16, apical lateral | 17, apex",,,,,,[hypokinesia_cmr] = '1',,,,,,
dyskinesia_cmr,cmr,,yesno,Dyskinesia,,,,,,,,,,,,, @DEFAULT='0'
dyskinesia_seg_cmr,cmr,,checkbox,Dyskinesia Segments,"1, basal anterior | 2, basal anteroseptal | 3, basal inferoseptal | 4, basal inferior | 5, basal inferolateral | 6, basal anterolateral | 7, mid anterior | 8, mid anteroseptal | 9, mid inferoseptal | 10, mid inferior | 11, mid inferolateral | 12, mid anterolateral | 13, apical anterior | 14, apical septal | 15, apical inferior | 16, apical lateral | 17, apex",,,,,,[dyskinesia_cmr] = '1',,,,,,
aneurysm_cmr,cmr,,yesno,Aneurysm,,,,,,,,,,,,, @DEFAULT='0'
aneurysm_seg_cmr,cmr,,checkbox,Aneurysm Segments,"1, basal anterior | 2, basal anteroseptal | 3, basal inferoseptal | 4, basal inferior | 5, basal inferolateral | 6, basal anterolateral | 7, mid anterior | 8, mid anteroseptal | 9, mid inferoseptal | 10, mid inferior | 11, mid inferolateral | 12, mid anterolateral | 13, apical anterior | 14, apical septal | 15, apical inferior | 16, apical lateral | 17, apex",,,,,,[aneurysm_cmr] = '1',,,,,,
thrombus_cmr,cmr,,yesno,LV thrombus ,,,,,,,,,,,,, @DEFAULT='0'
thrombus_dim_cmr,cmr,,text,Thrombus max dimensions,,,number,,,,[thrombus_cmr] = '1',,,,,,
thrombus_text_cmr,cmr,,notes,Thrombus free text,,,,,,,[thrombus_cmr] = '1',,,,,,
rvwma_cmr,cmr,,yesno,RV regional wall motion abnormalities ,,,,,,,,,,,,, @DEFAULT='0'
rvwma1,cmr,RV RWMA,checkbox,1 basal anterior free wall,"2, hypokinetic | 3, akinetic | 4, dyskinetic",,,,,,[rvwma_cmr] = '1',,,,rvwma_location_cmr,,
rvwma2,cmr,,checkbox,2 basal lateral free wall,"2, hypokinetic | 3, akinetic | 4, dyskinetic",,,,,,[rvwma_cmr] = '1',,,,rvwma_location_cmr,,
rvwma3,cmr,,checkbox,3 basal inferior wall,"2, hypokinetic | 3, akinetic | 4, dyskinetic",,,,,,[rvwma_cmr] = '1',,,,rvwma_location_cmr,,
rvwma4,cmr,,checkbox,4 mid anterior free wall,"2, hypokinetic | 3, akinetic | 4, dyskinetic",,,,,,[rvwma_cmr] = '1',,,,rvwma_location_cmr,,
rvwma5,cmr,,checkbox,5 mid lateral free wall,"2, hypokinetic | 3, akinetic | 4, dyskinetic",,,,,,[rvwma_cmr] = '1',,,,rvwma_location_cmr,,
